,PriceDate,Category,DateAdded,HighAlch,ItemName,LowAlch,MembersOnly,PriceChange,Price
00,1435042800.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,-20,1523.0
01,1434178800.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,-30,1538.0
02,1434956400.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1543.0
03,1434092400.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1568.0
04,1434870000.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,-24,1543.0
05,1434006000.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,-11,1568.0
06,1434783600.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1567.0
07,1433919600.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1579.0
08,1434697200.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,13,1567.0
09,1433833200.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,-4,1579.0
10,1434610800.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1554.0
11,1433746800.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,-67,1583.0
12,1434524400.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,12,1554.0
13,1433660400.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1650.0
14,1434438000.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1542.0
15,1433574000.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,-42,1650.0
16,1434351600.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,21,1542.0
17,1433487600.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1692.0
18,1434265200.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,-17,1521.0
19,1433401200.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,48,1692.0
20,1433314800.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1644.0
21,1432450800.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,-29,1549.0
22,1433228400.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,34,1644.0
23,1432364400.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1578.0
24,1433142000.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,39,1610.0
25,1432278000.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,-28,1578.0
26,1433055600.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1571.0
27,1432191600.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1606.0
28,1432969200.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,7,1571.0
29,1432105200.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,27,1606.0
30,1432882800.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1564.0
31,1432018800.0,Miscellaneous,1319439600.0,600.0,Bagged plant 1,400.0,Yes,0,1579.0
